Idade,Gênero,Nível_Educação,Renda,Comprou_Curso
23,1,1,2326,1
47,1,1,1330,1
47,0,2,1351,1
41,0,0,1007,1
22,1,0,1515,1
24,0,0,2019,1
30,0,0,3701,1
22,0,1,3519,1
32,0,1,2684,1
46,0,0,4525,1
30,0,1,2719,1
43,0,0,954,1
25,0,0,4440,1
43,1,0,1888,1
